Author	Rating	Review	Restaurant	Location
MissTina	4	The restaurant itself is absolutely stunning, located inside a limestone cave. Talk about unique!The service is impeccable and the staff are well trained. The food is good, but	Jeff's Cellar	Ipoh
May Tio	4	Dining in a cave, Very special dining experience. Ambience is magnificent (5â˜†). Food - 2 sets to choose from, western or M'sian. Taste & presentation- Quite ordinary and Chef did not prepare alternatives for seafood allergy diners (3â˜†).	Jeff's Cellar	Ipoh
Chow Xiao Hong	5	The entire dining experience was really great.Enjoyed it very much.Very professional staff.	Jeff's Cellar	Ipoh
sahnie s	5	Best experience I've had with fine dining. Food was creative and taste great.2 1/2 hours passed by without realising it...Worth trying and No regrets...	Jeff's Cellar	Ipoh
David Bovard	5	A fantastic restaurant with a unique food quality. We enjoyed every dish of the Western menu.	Jeff's Cellar	Ipoh
Andrew Tan	5	Seclusive, absolutely stunning to dine in a cave!	Jeff's Cellar	Ipoh
Philip Nexus	5	Great food and service. Recommend to  go early if you want to enjoy the peace & beauty of nature	Jeff's Cellar	Ipoh
Maizatul Ahmad	5	 	Jeff's Cellar	Ipoh
Ching Huian	5	I love the chilly atmosphere here plus the the beautiful opera music background music absolutely lift up your mood	Jeff's Cellar	Ipoh
victoria Kerk	4	awesome dining experience but the food ntg to shout about	Jeff's Cellar	Ipoh
Eric Wong	5	Ipoh the only fine dining and cave restaurant. Great food and environment.	Jeff's Cellar	Ipoh
Lim Ju Meng	5	Great flavour	Jeff's Cellar	Ipoh
Angeline Kaur	4	Good	Jeff's Cellar	Ipoh
Teng Lee	5	Delicious, beautiful environmentðŸŒ¹	Jeff's Cellar	Ipoh
Zona kacamata	5	the price of five-star quality five foot	Jeff's Cellar	Ipoh
Russell tht	5	Insanely delicious restaurant. Good wine	Jeff's Cellar	Ipoh
ngcindy ng	5	The environment is beautiful and comfortable, the food is delicious, recommended â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸	Jeff's Cellar	Ipoh
Vaishu Rajendran	3	This is a fine dining restaurant and hence you must make a reservation to dine here. Especially during the peak hours.  The dishes we ordered were absolutely mouth washing. We really enjoyed the meal.  The only reason they are getting a	Tandoor Grill	Ipoh
Arina Zhen	5	The most glamorous Indian restaurant that I have ever visited. The staffs are trained well, polite, friendly, and found that the welcoming staff is very helpful.	Tandoor Grill	Ipoh
Jasmin mohd-zain	5	A very nice bungalow with exclusive feel about the dining area. Staff are attentive and very polite. Parking is a breeze..10 points !	Tandoor Grill	Ipoh
Jayasri Ravichanthiran	4	I had a pretty good experience at this restaurant.I made a reservation for dinner with my partner one day and we were able to enjoy our dinner here. Please be advised to make a reservation earlier as we saw	Tandoor Grill	Ipoh
Ng Ee Ven	5	Pros- imported spices- enviroment superb.	Tandoor Grill	Ipoh
Vimal Rathakrishnan	4	Good food selection, tasty Indian foods, and a great environment.	Tandoor Grill	Ipoh
Manoj kumar	3	Good food but not up to indian standard i cant feel eniff indian spice in their food and its too blend but restaurant ambiance is too good	Tandoor Grill	Ipoh
Secret Moments	5	Nice foods with comfort environment in Tandoor Grill.Reasonable price with private parking	Tandoor Grill	Ipoh
J-lin Wong	5	Nice food and nice service. The food taste great. The kashmir naan is rly delectable.	Tandoor Grill	Ipoh
Tamilarasan Rajamanickam	5	Excellent service, environment and food. Probably in the top 3 indian restaurant for me in the country, and i have been to plenty. Had a vegetarian meal, but will try the non vegetarian dishes my next visit. The cocktail was excellent too.	Tandoor Grill	Ipoh
Marcus Liu	5	Few friends told me the Ipoh branch is better than the KL one and I didnâ€™t believe themâ€¦ wow I should have! The food the dedicated building the atmosphere was all better than the KL branch.. The food was simply better in taste and texture.	Tandoor Grill	Ipoh
paresh thakkar	3	The staff is not very keen or accomodating. Had to wait for over 20 mins for giving my order while the staff members were all lined up at the bar counter. Odd sight! The food was good so it did make up for that somewhat.	Tandoor Grill	Ipoh
Luqman Zaharin	5	Exclusive fine dining spot for Indian cuisine lovers. Had the masala briyani, naans with prawn vindaloo, gobi manchurian and malabar fish.	Tandoor Grill	Ipoh
Annnie Heng-suan	4	This place is a great restaurant indeed. The environment here are so cozy and luxurious. I like how their staffs wearing a cool looking outfit. This restaurant is perfectly neat. There were no dirt at all when I visited here last time. This	Tandoor Grill	Ipoh
Koorosh Chehrazi	5	Food is superb... Legit Indian cuisine with reasonable prices	Tandoor Grill	Ipoh
Rekha Doraisingam	5	The restaurant has ample parking space and great ambience. Good place for private parties as they have private rooms. Food is delicious and affordable. The panner butter masala was really tasty. I was a little put off when one of their	Tandoor Grill	Ipoh
Anne Paul	5	Great food and beautiful environment! Best service too!	Tandoor Grill	Ipoh
vaneshaa	5	Heard this place was good, decided to come and try other dishes such as their butter naan, dal makhani, masala tikka chicken & paneer butter masala. Overall itâ€™s amazing, affordable and I like their decorations, not too dark and not too bright place. Would come again for their amazing food.	Tandoor Grill	Ipoh
David Abraham Pakianathan	5	I have been to tandoor grill few times . I really enjoyed their food . In fact , every time we go to Ipoh or anyone go to Ipoh , I always recommend my family and friends to visit tandoor grill. Highly recommended. Anyone reading this , please try their paneer butter masala. Canâ€™t wait to go again	Tandoor Grill	Ipoh
A Tan	5	Loved their shahi korma mutton. Perfect for those who can't take spicy but still like to have something aromatic. The shahi korma is very creamy and fragrant.	Tandoor Grill	Ipoh
Anjali	5	Highly recommended for good Indian food, you have to make reservations before u go. The food are very tasty and the price are affordable. Should try this restaurant with your family. The restaurant is very clean and they have ample of parking. I enjoy the food over thrre	Tandoor Grill	Ipoh
Nikola Andrejevic	4	An excellent experience, especially if you are looking to dine at a more upscale place. Obviously the prices are a bit higher but there was not an single dish we did not enjoy. There was a great variety all prepared with different flavour	Tandoor Grill	Ipoh
Andrea Lontoc	5	A fantastic option if you are looking for Indian food in Ipoh. It was a recommendation from our tour guide and we went around 8pm on a weeknight. We actually had to wait for our table for about 15 minutes so I'd recommend making a	Tandoor Grill	Ipoh
Adelena Dass	5	Best north Indian dishes in town!! Best place to go for an Indian feast! Highly recommend.	Tandoor Grill	Ipoh
Yamunasuharni Ravindaran	5	First of all great ambience and the food is delicious. I had mutton biryani ( had different name ) and each and every bite had soft cubes of mutton and it was so worth it. The price is on the higher side but definitely a must try	Tandoor Grill	Ipoh
Rajesh Singh	5	Fantastic atmosphere.... Great service....And the food is superb.... Masala tea and gulab jamun too die for.....	Tandoor Grill	Ipoh
Yos William	5	An upscale Indian restaurant with friendly staff and great service. We ordered tandoori chickens, mutton briyani, chicken briyani, butter chicken, samosa, and paneer. All of them tasted very good. The seasonings were enough and made us	Tandoor Grill	Ipoh
Faye Cheang	4	Food is nice and cozy. High class northern Indian food. Price is slightly expensive but worth to try if you like northern Indian food.	Tandoor Grill	Ipoh
Shalini S Balakrishnan	5	Food are delicious. I liked the lunch set during weekdays... Cozy environment and classy.	Tandoor Grill	Ipoh
Nisha Nair	5	My all time favourite diner. Love almost all the dishes from this restaurant especially badam kulfi. ðŸ˜ Itâ€™s a classic with modern twist of Indian restaurant. Prices are reasonable.	Tandoor Grill	Ipoh
Sundram Arumugam	5	Great, authentic and lovely Indian foodGo with family, friends, or anyone..Won't be disappointed!	Tandoor Grill	Ipoh
Andrew Lee	5	Fantastic Indian establishment! I highly recommend this place for occasions and celebrations.	Tandoor Grill	Ipoh
Michelle Looi	5	The food is amazing and the environment made the dining experience much more memorable. We enjoyed everything we ordered. We were also given complimentary kulfi, perhaps because it was on Valentine's day. Absolutely loved the kulfi! You should make a reservation if you're a big group. Will visit again in future, such a gem in town.	Tandoor Grill	Ipoh
Ivan Chai	5	A very high rated Indian food restaurant. Very good in food and environment.The food is so called original taste of Indian food. Put lots of spices make	Tandoor Grill	Ipoh
White Cottenz	4	Itâ€™s very Tasty, best Indian cuisine, But my problem is that sometimes it takes a long time for the food to arrive but itâ€™s worth waiting,  some food is really spicy, so it would be recommended to order something cold to tolerate the spice	Tandoor Grill	Ipoh
Soo K	5	Delicious food & very clean environment & nice ambience. We enjoyed the food so much. ðŸ‘ðŸ‘	Tandoor Grill	Ipoh
InÃªs Pereira	4	Delicious food! Required more staff, when crowded it takes a while to deal with all the requests. Early dinner probably a better option	Tandoor Grill	Ipoh
Berlinda Lau	5	Delicious north Indian cuisine. Two thumbs up. Great ambience to go along with yummy foodd and the service staff is attentive.	Tandoor Grill	Ipoh
Muralitharan Nagalingam	5	It was quite a good experience dining here, with classy environment and mouth-watering food. Satisfying service of the waiters. We had chicken briyani and chicken tikka masala, both was amazing. And the gulab jamun (dessert) here was scrumptious.	Tandoor Grill	Ipoh
chandras4uin	5	Having tried many indian restaurants across Malaysia, to me this is the best in terms authenticity, ambience and value. Keep up the good work.	Tandoor Grill	Ipoh
David â€œDSâ€ Suresan	5	Service is good. Food is up to standards. The place is comfortable. Parking is abundance. Price is also reasonable.	Tandoor Grill	Ipoh
Abdul karim bin Abdul hamid	3	Food is not so great...so so only...toilet dirty....	Tandoor Grill	Ipoh
Sulaiman	3	The Food is excellent! no doubt on that, but service isnâ€™t much, the workers there donâ€™t seems like theyâ€™ve ever heard of something called â€œsmilingâ€. we felt like we werenâ€™t welcomed there!.	Tandoor Grill	Ipoh
Amol J	3	Premium Indian restaurant in IPOHThis is the second Indian restaurant in IPOH where I was disappointed with Biryani. They call it Dum Biryani but it was not up to the mark.	Tandoor Grill	Ipoh
Juliana Phaik-Lian Choo	5	Feel like having a delicious North Indian meal in posh surroundings, but at prices that don't break the bank? This is the place. I've been here a few times and none of their offerings have disappointed. The naan is done the way I like it,	Tandoor Grill	Ipoh
May Wong	5	Amazing service. Perfect date night spot. Chicken tikka masala is amazing. Ordered garlic naan, aloo gobi and aloo paratha. Reasonably priced given the service and ambience.	Tandoor Grill	Ipoh
Benjamin Bromberg	5	Fantastic food and great service. Will definitely come again. Pricing feels actually too low for quality of the food!	Tandoor Grill	Ipoh
Kames Logan	5	This is review 1.1 an update from my previous review exactly a year ago. I have not uploaded many pictures of the dinner we had simply because we did not order as much.	Tandoor Grill	Ipoh
MOOå·«	4	A very delicious food.......Come and try....And	Tandoor Grill	Ipoh
Sarthaka Nanda	4	Big, Clean and pricy place but food was ok. Indians missing tandoori taste can definitely head here...	Tandoor Grill	Ipoh
CH Yau	4	The place to go to for northern Indian cuisine they say. Recommended by my Indian expat colleagues. Nice ambience.	Tandoor Grill	Ipoh
Jasbir Nannuan	5	Awesome ambience, food is good, great hospitality, most favourite place to dine.	Tandoor Grill	Ipoh
Shwetha S	5	Delicious food. On weekends try to get reservation coz it was almost full	Tandoor Grill	Ipoh
Kenny Chong	3	Food is good, but the worker in kitchen and bar was no mask	Tandoor Grill	Ipoh
Kirthana Kirthana	5	Food taste are very delicious and fresh....Price also so reasonable....	Tandoor Grill	Ipoh
Neshalinee Balasingam	5	It's a wonderful lunch. I love the food.	Tandoor Grill	Ipoh
Koh Hock Lim	5	Fantastic Indian cuisine. Nice ambience. Ample parking space.	Tandoor Grill	Ipoh
David Prravin	4	5 star plus for food. Creamy, buttery, delicious.4 star for ambience. Upscale but nothing impressive.1 star for service. Not a smile to be found here. Curt replies and non existent	Tandoor Grill	Ipoh
J.M. Wong	4	Excellent Indian food. Great and romantic place to dine...	Tandoor Grill	Ipoh
Noorjahan Noorjahan	1	Nice place for family and friends gathering. Clean, cozy and the food is nice.	Tandoor Grill	Ipoh
izyan liyana mohd khadri	5	Food was nice and reasonably priced. Service was also good and attentive	Tandoor Grill	Ipoh
Cherie Lai	4	One of my favourite Indian restaurantsin town. Nice environment with polite staffs. Butter chicken is the "must order" item.	Tandoor Grill	Ipoh
Poh Suan Ong	5	Great ambience for a family dinner. Service was good.	Tandoor Grill	Ipoh
jackeltan	5	Awesome place for Northern India Food..Great Service, delicious food..	Tandoor Grill	Ipoh
SAKNISH RAJ	5	In general, Iâ€™m very happy that there is such a great place where I can spend a great time with my family and friends. Besides that, it's extremely high standard of cuisine, coupled with great restaurant atmosphere. The waiters there are	Tandoor Grill	Ipoh
JENSOM NG	4	My family favourite India cuisine all-time...!!!ðŸ‘ðŸ‘ðŸ‘	Tandoor Grill	Ipoh
Amirah Zul	5	delicious food and good service. class environment	Tandoor Grill	Ipoh
nurul aqidah	5	Nice food ! Nice ambience ! Worth the price. I spent around 100 for 2 person dinner which is worth it consider the service and how good was the food. The waiters were really nice and polite, definitely coming here again	Tandoor Grill	Ipoh
Saravanan Subramaniam	5	Amazed service. Worth for money.Don't miss the taste of Indian Cuisine	Tandoor Grill	Ipoh
Riz Mohd	3	I visit this once. But before order i did ask is this restaurant provide halal to one of the waitress and she said halal and suddenly walk away from us and she asking another waiter to replace her place and take our order. Yeahh im okay if	Tandoor Grill	Ipoh
Darsh Belanke	5	Good quality of Indian food is served here.People who are interested in Indian dine then this is the end to their search.	Tandoor Grill	Ipoh
Rani Kaur	5	Delicious food,  Cheese and Kashmiri nan is a must try, cosy and elegant atmosphere.. Would love to visit again with family..	Tandoor Grill	Ipoh
Jessica Lim	1	To anyone looking to have a meal in Tandoor Grill, pls DO NOT go to this place. It is super expensive and quantity isnt enough for a cat. The atmosphere is nice, but ruined by the poor service. Waiters will pretend they didnt see you so you	Tandoor Grill	Ipoh
Thilak Kannan	5	Its my first time having dinner in this place...There is a staff named Mr Jeevan who told us tht they will send the food to my table in 15 minutes. It is true the food arrived within the time. The entire staff crew was given a good service, and i appreciate it.....Quiet place and good environment...	Tandoor Grill	Ipoh
Nesha Ballan	5	The best briyani that  I ever had in my life!  Worth the money!	Tandoor Grill	Ipoh
Luis Tango Poh	5	Northern Indian Crusine- Very Delicious with Great Service- Very Reasonable Price.A MUST TRY.... WHEN IN IPOH, MALAYSIA	Tandoor Grill	Ipoh
Sama Nekakhtar	4	Great food. Open ambience. We had their daal, chicken tikka, chicken kebab and garlic naan. Also tried their masala tea. All great food. Love the fact that the kitchen is open and visible but thereâ€™s a glass window so the dining area	Tandoor Grill	Ipoh
Cecelia Loke	5	My favourite place for Indian Cuisine in Ipoh! Their dishes are rich and flavourful, Palak Paneer is a must-order for me. Their Chicken Tikka Masala is good, Butter Chicken is yu-uh-uh-mmy, and oh, their lamb dishes are good too! Excellent service, good ambience. Well done!	Tandoor Grill	Ipoh
Sonia Kaur16	1	Worst food I have try and bad service.not recommended	Tandoor Grill	Ipoh
Divya Sharma	5	I went there with my family and the place was good. Firstly, the drink was awesome! I ordered the mocktail and since it was handmade it was tasty! Secondly, the food was in good quantity as we could finish all of it. The food itself taste	Tandoor Grill	Ipoh
Kloey Y.	5	Super authentic Indian food. They have lunch buffet every Friday and I highly recommend because of the amazing and yummy options ! It's around rm40+ per person. They serve Pani puree, lassi and some food Indian desserts, which are what I look for whenever I visit an Indian restaurant :D	Tandoor Grill	Ipoh
Victor Lim	3	Nice ambience for a big or small groups as it is filled with detailed decorations surrounding. Food is pretty mediocre of its taste and portion in accordance to the price paying, but cleanliness and formality is worth the time dining here.	Tandoor Grill	Ipoh
Kesava raaj	5	Food was good and satisfied as well. Environment was so calm. Reasonable price for every meal as well and each meal can share for 2 person, they provide in a medium portion. ðŸ‘ðŸ‘	Tandoor Grill	Ipoh
Pei Kee	3	Food is taste good and the environment also not bad. However, the service is too slow. I had been waiting my food to be served around 45 minutes. In between, I think the kitchen miss out our order, one of the dish was only served after we	Tandoor Grill	Ipoh
Karthik Chandra	5	Authentic Indian Cuisine. I felt like I had food in India. Want to come back whenever I come to Ipoh.	Tandoor Grill	Ipoh
Saravana Letchumanan	5	The best posh fine dining you can go for	Tandoor Grill	Ipoh
ck lee	4	Nice food with good dining ambiance	Tandoor Grill	Ipoh
Zet Zakiah	5	Delicious Indian cuisine.must try.	Tandoor Grill	Ipoh
Anee Ahmad Hisham	5	Good food n great place	Tandoor Grill	Ipoh
Shruti Hegde	5	Best for Indian food in Ipoh. Has got sufficient place for parking. Restaurant is very clean and has friendly staff and is crowded always. We eat here whenever we visit Ipoh.	Tandoor Grill	Ipoh
chin khimkhoon	4	Food is good. Service is prompt	Tandoor Grill	Ipoh
Aman Poonia	5	I was travelling Malaysia from Australia last week. I went to Ipoh with friends and family and wanted to have a nice indian food but it was late so we quickly checked google and found tandoori grill to have good ratings. We called them and	Tandoor Grill	Ipoh
Carol Naidu	5	Food was nice and service was wonderful.	Tandoor Grill	Ipoh
Jeslyn Jenny	5	The foods was really delicious and the services should take a big round of applause.From my point of view,I have been to many restaurants and I recommend this restaurant to have a great meal ahead.The waiters were really gentle.More than that,the foods was just another levelðŸ˜‹	Tandoor Grill	Ipoh
anis suzana	3	Portion are big for a personNice and cozy restauranta bit pricey but not and overated taste.	Tandoor Grill	Ipoh
shalini singh	1	I am currently sitting in the restaurant... Staff is totally arrogant... They purposely ignoring the customer... And service is totally bad... I came last night also and came for today's lunch... Last night also it was and bit I thought	Tandoor Grill	Ipoh
Rajendra Patel	4	Nice place and lots of choice for food	Tandoor Grill	Ipoh
Lisa Khor	1	Food was good. But the services no1. Table of 10, gave 3 menu. I have to ask and they are not happy.2. Last call wasn't properly inform. I want to order new drinks and waited for	Tandoor Grill	Ipoh
sathis kumar	4	Nice place ....tasty food...a little expensive...have enough place for small gathering.....but I think the management should decorate this place with classical art and pictures to make more lively...	Tandoor Grill	Ipoh
Lalli Mayan	1	Seriously the food is not worth it for its price..They charge 16% for service charge and tax but the service is not up to the expectation. Table for two is quite private but each and everytime to order and others we have to walk to the	Tandoor Grill	Ipoh
Adrian Hawkins	3	Food outstanding but slowest service in the world.Staff obviously not well motivated by management, waited more than 15 minutes	Tandoor Grill	Ipoh
adriana ishak	4	Worth to try even though the price is quite expensive. The taste and spices were so great and delightful. Great service as well. Nice ambience!	Tandoor Grill	Ipoh
Cara Cherry	4	Great food, bit the service charge is daylight robbery	Tandoor Grill	Ipoh
NIRMALADEVI MATHIALAGAN	4	Really great ambiance. Excellent staffs..great food .... A variety of stuffed naan and breads and don't forget about the Vege and non vegetarian dishes ðŸ˜	Tandoor Grill	Ipoh
Tharshini Sandaragesan	2	Went to celebrate my sister's birthday last night here. And before we could enter, an Indian lady staff and a guy just stopped us infront the entrance and didn't allow us to enter into the restaurant. She asked if we've got any reservations	Tandoor Grill	Ipoh
Baby Sweety	5	The food is very good,no word to sayðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ˜Š	Tandoor Grill	Ipoh
Sarmine Baskaran	5	Pricy but beautiful. Delicious food.	Tandoor Grill	Ipoh
Prasana Manogaran	4	Food is okay. A little pricy for average taste. Personally, I feel the price you pay would be for the rich look of the place. Environment is too quiet, like if you wanna have a fun eating time. This is not a place for you.	Tandoor Grill	Ipoh
Helga Jelinek	5	Excellent food! Service very quick and friendly.It's one of the best Indian restaurant's we have ever been!! And its quite cheap! We will come again, thanks a lot!	Tandoor Grill	Ipoh
Maari R	5	Awesome indian food.	Tandoor Grill	Ipoh
Lisa Chua	4	Very nicely cooked Indian dishes,  especially the mutton curryðŸ‘	Tandoor Grill	Ipoh
thru jai ganesh thoraisingam	5	Best place for North Indian authentic cuisine	Tandoor Grill	Ipoh
Chad Nojey	5	The waitstaff here is incredibly helpful in recommending that tastiest and most worthwile menu options. No matter what you pick, you nonetheless will not be disappointed. We tried the palak paneer and the naan basket while we were there and	Tandoor Grill	Ipoh
Parandeep Singh	5	Food is better than any upmarket Indian restaurant in KL . Service is excellent . Place is spotless , wash basins are spotless .	Tandoor Grill	Ipoh
Saravanan Sivasangaran	4	Very cosy environment, great for family or friends or dating. Food taste good especially their naan variety. I like the butter naan the most. They authentic North Indian cuisine varieties. They have rooms for functions as well.  Spacious parking for guests. Waiters and waiteress are very friendly.	Tandoor Grill	Ipoh
Yashas K.M	5	Well, I would jamoon was my fav here, its the best I ever had.Tandoori roti and other items matched exact Indian taste and there was veg sheeka kabab thats a must to have with chetny.. 10 star for staff humbleness	Tandoor Grill	Ipoh
Anne J. Vincent	3	Impeccable service. Waiters were friendly and courteous. Unfortunately the Madrasi Chicken we ordered tasted like barbeque sauce. The Naans were great. We were a little disappointed when the fruit custard we ordered for dessert wasn't	Tandoor Grill	Ipoh
Dipak Mohapatra	3	Good Indian food at Ipoh.. it will be better if they service hot for Lunch set..	Tandoor Grill	Ipoh
kausalya mohana selvam	5	The food is good and decent. Only serves north Indian cuisine. Not sure about the price though. It might be quite expensive for some people. A good place to have an event.	Tandoor Grill	Ipoh
punitha malar	5	The price worth to pay as food prepared so delicious. I enjoy the nan with yummy vegetarian gravy. Chicken briyani also yummy . Mango kulfi was awesome. Highly recommend.	Tandoor Grill	Ipoh
Chun Khuen Seng	5	Chicken masala, one of the best choice for those unavailable to spicy	Tandoor Grill	Ipoh
AVYNASH DA ESHWARAN	5	The taste of food is really in good quality and worth trying. Parking is available with guidance of guards but the cost of food is slightly pricey. Suitable for gathering and family occasions.	Tandoor Grill	Ipoh
Liza Yaakup (SNUGGbaby)	5	Good food and nice ambience.	Tandoor Grill	Ipoh
